,Id,Title,Ww_gross,Dom_gross,Fore_gross,Year,Descriptions,Rating_cnt,Best_rating,Worst_rating,Rating_value,Content_rating,Release,Keywords,Runtime,Genre1,Genre2,Genre3,Actor1,Actor2,Actor3,Director1,Director2,Director3,Creator1,Creator2,Creator3
229,tt0099653,Ghost,505703557,217631306,288072251,1990,""": ""After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic."",
  ",225533,10,1,7.1,PG-13,1990-07-13," love,death,pottery,stabbed with glass,supernatural drama",2H7M,"""Drama""","""Fantasy""","""Romance""","""PatrickSwayze""","""DemiMoore""","""WhoopiGoldberg""","""JerryZucker""",,,"""BruceJoelRubin""",,
230,tt0103639,Aladdin,504050219,217350219,286700000,1992,""": null,
  ",437668,10,1,8.0,G,1992-11-25," genie,three wishes,arab,princess,prince",1H30M,"""Animation""","""Adventure""","""Comedy""","""ScottWeinger""","""RobinWilliams""","""LindaLarkin""","""RonClements""","""JohnMusker""",,"""RonClements""","""JohnMusker""","""TedElliott"""
231,tt0172495,Gladiator,503162313,187705427,315456886,2000,""": ""A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery."",
  ",1536075,10,1,8.5,R,2000-05-05," roman empire,gladiator,slavery,combat,battlefield",2H35M,"""Action""","""Adventure""","""Drama""","""RussellCrowe""","""JoaquinPhoenix""","""ConnieNielsen""","""RidleyScott""",,,"""DavidFranzoni""","""JohnLogan""","""WilliamNicholson"""
232,tt2357291,Rio 2,498781117,131538435,367242682,2014,""": null,
  ",95083,10,1,6.3,G,2014-04-11," father son relationship,dog,tomboy,heroine,south america",1H41M,"""Animation""","""Adventure""","""Comedy""","""JesseEisenberg""","""AnneHathaway""","""JemaineClement""","""CarlosSaldanha""",,,"""DonRhymer""","""CarlosKotkin""","""JennyBicks"""
233,tt0332452,Troy,497409852,133378256,364031596,2004,""": ""An adaptation of Homer&apos;s great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved."",
  ",548312,10,1,7.3,R,2004-05-14," mythology,greek myth,greek,city name in title,revenge",2H43M,"""Drama""",,,"""BradPitt""","""EricBana""","""OrlandoBloom""","""WolfgangPetersen""",,,"""Homer""","""DavidBenioff""",
234,tt0120363,Toy Story 2,497375381,245852179,251523202,1999,""": ""When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye."",
  ",595518,10,1,7.9,G,1999-11-24," toy,toy comes to life,chicken suit,toy story,1990s",1H32M,"""Animation""","""Adventure""","""Comedy""","""TomHanks""","""TimAllen""","""JoanCusack""","""JohnLasseter""","""AshBrannon""","""LeeUnkrich""","""JohnLasseter""","""PeteDocter""","""AshBrannon"""
235,tt0892769,How to Train Your Dragon,494879471,217581231,277298240,2010,""": null,
  ",761200,10,1,8.1,PG,2010-03-26," dragon,viking,father son relationship,village,island",1H38M,"""Animation""","""Action""","""Adventure""","""JayBaruchel""","""GerardButler""","""ChristopherMintz-Plasse""","""DeanDeBlois""","""ChrisSanders""",,"""WillDavies""","""DeanDeBlois""","""ChrisSanders"""
236,tt0117998,Twister,494580615,241830615,252750000,1996,""": null,
  ",202972,10,1,6.4,PG-13,1996-05-10," crashing a car into a house,drive in theater,drive in movie,storm chaser,disaster",1H53M,"""Action""","""Adventure""","""Thriller""","""HelenHunt""","""BillPaxton""","""CaryElwes""","""JandeBont""",,,"""MichaelCrichton""","""Anne-MarieMartin""",
237,tt1623205,Oz the Great and Powerful,493311825,234911825,258400000,2013,""": ""A small-time magician is swept away to an enchanted land and is forced into a power struggle between three witches."",
  ",211044,10,1,6.3,PG,2013-03-08," wicked witch of the west character,year 1905,glinda the good character,3 dimensional,camera focus on female butt",2H10M,"""Adventure""","""Family""","""Fantasy""","""JamesFranco""","""MichelleWilliams""","""RachelWeisz""","""SamRaimi""",,,"""MitchellKapner""","""DavidLindsay-Abaire""","""L.FrankBaum"""
238,tt0800320,Clash of the Titans,493214993,163214888,330000105,2010,""": ""Perseus, a demigod and the son of Zeus, battles the minions of Hades and the Underworld in order to stop them from conquering Olympus and Earth."",
  ",287085,10,1,5.8,PG-13,2010-04-02," kraken,greek mythology,hand to hand combat,famous line,myth",1H46M,"""Action""","""Adventure""","""Fantasy""","""SamWorthington""","""LiamNeeson""","""RalphFiennes""","""LouisLeterrier""",,,"""TravisBeacham""","""PhilHay""","""MattManfredi"""
